technique,legacy_technique,name,tactic,revoked,data_sources$
T1090.002,,External Proxy,TA0011,false,Process use of network;Process monitoring;Network protocol analysis;Netflow/Enclave netflow;Packet capture$
T1133,,External Remote Services,TA0003;TA0001,false,Authentication logs$
T1055.011,T1181,Extra Window Memory Injection,TA0005;TA0004,false,Process monitoring;API monitoring$
T1008,,Fallback Channels,TA0011,false,Malware reverse engineering;Netflow/Enclave netflow;Packet capture;Process monitoring;Process use of network$
T1568.001,,Fast Flux DNS,TA0011,false,DNS records$
T1070.004,T1107,File Deletion,TA0005,false,Binary file metadata;Process command-line parameters;File monitoring$
T1071.002,,File Transfer Protocols,TA0011,false,Network protocol analysis;Process monitoring;Process use of network;Netflow/Enclave netflow;Packet capture$
T1083,,File and Directory Discovery,TA0007,false,File monitoring;Process monitoring;Process command-line parameters$
T1222,,File and Directory Permissions Modification,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;Windows event logs$
T1592.003,,Firmware,TA0043,false,$
T1495,,Firmware Corruption,TA0040,false,BIOS;Component firmware$
T1187,,Forced Authentication,TA0006,false,File monitoring;Network protocol analysis;Network device logs;Process use of network$
T1056.002,,GUI Input Capture,TA0009;TA0006,false,PowerShell logs;User interface;Process command-line parameters;Process monitoring$
T1553.001,T1144,Gatekeeper Bypass,TA0005,false,File monitoring;Process command-line parameters$
T1592,,Gather Victim Host Information,TA0043,false,$
T1589,,Gather Victim Identity Information,TA0043,false,$
T1590,,Gather Victim Network Information,TA0043,false,$
T1591,,Gather Victim Org Information,TA0043,false,$
T1558.001,,Golden Ticket,TA0006,false,Authentication logs;Windows event logs$
T1061,,Graphical User Interface,TA0002,false,File monitoring;Process monitoring;Process command-line parameters;Binary file metadata$
T1552.006,,Group Policy Preferences,TA0006,false,Process command-line parameters;Windows event logs$
T1592.001,,Hardware,TA0043,false,$
T1200,,Hardware Additions,TA0001,false,Asset management;Data loss prevention$
T1564.005,,Hidden File System,TA0005,false,File monitoring;Windows Registry$
T1564.001,T1158,Hidden Files and Directories,TA0005,false,Process command-line parameters;Process monitoring;File monitoring$
T1564.002,T1147,Hidden Users,TA0005,false,File monitoring;Authentication logs$
T1564.003,T1143,Hidden Window,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;PowerShell logs$
T1564,,Hide Artifacts,TA0005,false,API monitoring;PowerShell logs;Authentication logs;Process command-line parameters;Process monitoring;File monitoring$
T1574,,Hijack Execution Flow,TA0003;TA0004;TA0005,false,Environment variable;Loaded DLLs;Process command-line parameters;Process monitoring;File monitoring;DLL monitoring$
T1062,,Hypervisor,TA0003,false,System calls$
T1590.005,,IP Addresses,TA0043,false,$
T1591.003,,Identify Business Tempo,TA0043,false,$
T1591.004,,Identify Roles,TA0043,false,$
T1546.012,T1183,Image File Execution Options Injection,TA0004;TA0003,false,API monitoring;Windows event logs;Windows Registry;Process command-line parameters;Process monitoring$
T1562.003,,Impair Command History Logging,TA0005,false,PowerShell logs;Process command-line parameters;Environment variable;File monitoring;Authentication logs;Process monitoring$
T1562,,Impair Defenses,TA0005,false,GCP audit logs;Azure activity logs;AWS CloudTrail logs;Anti-virus;Services;API monitoring;Environment variable;Authentication logs;File monitoring;Process command-line parameters;Process monitoring;Windows Registry$
T1525,,Implant Container Image,TA0003,false,File monitoring;Asset management$
T1562.006,T1054,Indicator Blocking,TA0005,false,Process command-line parameters;Process monitoring;Sensor health and status$
T1027.005,T1066,Indicator Removal from Tools,TA0005,false,Process monitoring;Process command-line parameters;Anti-virus;Binary file metadata$
T1070,,Indicator Removal on Host,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;API monitoring;Windows event logs$
T1202,,Indirect Command Execution,TA0005,false,File monitoring;Process monitoring;Process command-line parameters;Windows event logs$
T1105,,Ingress Tool Transfer,TA0011,false,Process command-line parameters;File monitoring;Packet capture;Process use of network;Netflow/Enclave netflow;Network protocol analysis;Process monitoring$
T1490,,Inhibit System Recovery,TA0040,false,Windows Registry;Services;Windows event logs;Process command-line parameters;Process monitoring$
T1056,,Input Capture,TA0009;TA0006,false,Windows Registry;Windows event logs;User interface;Process command-line parameters;Process monitoring;PowerShell logs;Loaded DLLs;Kernel drivers;DLL monitoring;Binary file metadata;API monitoring$
T1553.004,T1130,Install Root Certificate,TA0005,false,SSL/TLS inspection;Digital certificate logs$
T1218.004,T1118,InstallUtil,TA0005,false,Process command-line parameters;Process monitoring$
T1559,,Inter-Process Communication,TA0002,false,Process monitoring;DLL monitoring;File monitoring$
T1491.001,,Internal Defacement,TA0040,false,Web logs;Web application firewall logs;Packet capture$
T1090.001,,Internal Proxy,TA0011,false,Process use of network;Process monitoring;Network protocol analysis;Netflow/Enclave netflow;Packet capture$
T1534,,Internal Spearphishing,TA0008,false,SSL/TLS inspection;DNS records;Anti-virus;Web proxy;File monitoring;Mail server;Office 365 trace logs$
T1036.001,,Invalid Code Signature,TA0005,false,File monitoring;Process monitoring;Binary file metadata$
T1059.007,,JavaScript/JScript,TA0002,false,Loaded DLLs;DLL monitoring;File monitoring;Process command-line parameters;Process monitoring$
T1001.001,,Junk Data,TA0011,false,Packet capture;Process use of network;Process monitoring;Network protocol analysis$
T1558.003,T1208,Kerberoasting,TA0006,false,Authentication logs;Windows event logs$
T1547.006,T1215,Kernel Modules and Extensions,TA0003;TA0004,false,Process monitoring;Process command-line parameters$
T1555.001,T1142,Keychain,TA0006,false,PowerShell logs;Process monitoring;File monitoring;System calls;API monitoring$
T1056.001,,Keylogging,TA0009;TA0006,false,Windows Registry;Process monitoring;API monitoring$
T1546.006,T1161,LC_LOAD_DYLIB Addition,TA0004;TA0003,false,File monitoring;Process command-line parameters;Process monitoring;Binary file metadata$
T1149,,LC_MAIN Hijacking,TA0005,false,Binary file metadata;Malware reverse engineering;Process monitoring$
T1574.006,,LD_PRELOAD,TA0003;TA0004;TA0005,false,Process monitoring;File monitoring;Environment variable$
T1557.001,,LLMNR/NBT-NS Poisoning and SMB Relay,TA0006;TA0009,false,Windows event logs;Windows Registry;Packet capture;Netflow/Enclave netflow$
T1003.004,,LSA Secrets,TA0006,false,Process monitoring;PowerShell logs;Process command-line parameters$
T1547.008,T1177,LSASS Driver,TA0003;TA0004,false,DLL monitoring;File monitoring;Loaded DLLs;Process monitoring$
T1003.001,,LSASS Memory,TA0006,false,Process command-line parameters;PowerShell logs;Process monitoring$
T1570,,Lateral Tool Transfer,TA0008,false,Process command-line parameters;File monitoring;Packet capture;Process use of network;Netflow/Enclave netflow;Network protocol analysis;Process monitoring$
T1543.001,T1159,Launch Agent,TA0003;TA0004,false,Process monitoring;File monitoring$
T1543.004,T1160,Launch Daemon,TA0003;TA0004,false,File monitoring$
T1569.001,T1152,Launchctl,TA0002,false,Process command-line parameters;Process monitoring;File monitoring$
T1053.004,,Launchd,TA0002;TA0003;TA0004,false,Process command-line parameters;File monitoring;Process monitoring$
T1222.002,,Linux and Mac File and Directory Permissions Modification,TA0005,false,Process command-line parameters;Process monitoring;File monitoring$
T1136.001,,Local Account,TA0003,false,Process monitoring;Process command-line parameters;Authentication logs;Windows event logs$
T1087.001,,Local Account,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1078.003,,Local Accounts,TA0005;TA0003;TA0004;TA0001,false,Authentication logs$
T1074.001,,Local Data Staging,TA0009,false,Process command-line parameters;Process monitoring;File monitoring$
T1114.001,,Local Email Collection,TA0009,false,Process monitoring;File monitoring;Authentication logs;Mail server$
T1069.001,,Local Groups,TA0007,false,API monitoring;Process monitoring;Process command-line parameters$
T1037.002,,Logon Script (Mac),TA0003;TA0004,false,Process monitoring;File monitoring$
T1037.001,,Logon Script (Windows),TA0003;TA0004,false,Process monitoring;Windows Registry$
T1127.001,,MSBuild,TA0005,false,Process monitoring$
T1071.003,,Mail Protocols,TA0011,false,Network protocol analysis;Process monitoring;Process use of network;Netflow/Enclave netflow;Packet capture$
T1134.003,,Make and Impersonate Token,TA0005;TA0004,false,Process command-line parameters;Process monitoring;Access tokens;API monitoring$
T1204.002,,Malicious File,TA0002,false,Anti-virus;Process command-line parameters;Process monitoring$
T1204.001,,Malicious Link,TA0002,false,Anti-virus;Process monitoring;Web proxy$
T1587.001,,Malware,TA0042,false,$
